interaction_id,user_id,product_id,event_type,value,timestamp,is_synthetic
I0001,C001_partner_a,P011,purchase,1.0,2026-01-10T00:00:00,True
I0002,C001_partner_a,P902,view,1.0,2026-04-21T00:00:00,True
I0003,C001_partner_a,P021,purchase,1.0,2026-01-13T00:00:00,True
I0004,C001_partner_a,P017,view,1.0,2026-03-11T00:00:00,True
I0005,C001_partner_a,P005,purchase,1.0,2026-01-12T00:00:00,True
I0006,C001_partner_a,P005,purchase,1.0,2026-04-19T00:00:00,True
I0007,C001_partner_b,P002,view,1.0,2026-03-04T00:00:00,True
I0008,C001_partner_b,P025,view,1.0,2026-04-21T00:00:00,True
I0009,C001_partner_b,P017,view,1.0,2026-01-08T00:00:00,True
I0010,C001_partner_b,P020,view,1.0,2026-01-01T00:00:00,True
I0011,C001_partner_b,P001,purchase,1.0,2026-02-03T00:00:00,True
I0012,C001_partner_b,P903,purchase,1.0,2026-04-11T00:00:00,True
I0013,C002_partner_a,P024,view,1.0,2026-03-31T00:00:00,True
I0014,C002_partner_a,P006,purchase,1.0,2026-04-11T00:00:00,True
I0015,C002_partner_a,P005,rating,4.4,2026-01-20T00:00:00,True
I0016,C002_partner_a,P005,view,1.0,2026-01-28T00:00:00,True
I0017,C002_partner_a,P008,purchase,1.0,2026-03-16T00:00:00,True
I0018,C002_partner_a,P014,rating,3.1,2026-02-10T00:00:00,True
I0019,C002_partner_a,P011,view,1.0,2026-03-16T00:00:00,True
I0020,C002_partner_a,P008,view,1.0,2026-04-28T00:00:00,True
I0021,C002_partner_b,P017,view,1.0,2026-03-07T00:00:00,True
I0022,C002_partner_b,P003,view,1.0,2026-01-24T00:00:00,True
I0023,C002_partner_b,P008,view,1.0,2026-01-09T00:00:00,True
I0024,C002_partner_b,P010,rating,3.5,2026-01-16T00:00:00,True
I0025,C002_partner_b,P011,purchase,1.0,2026-03-14T00:00:00,True
I0026,C002_partner_b,P024,view,1.0,2026-03-18T00:00:00,True
I0027,C002_partner_b,P005,view,1.0,2026-01-11T00:00:00,True
I0028,C002_partner_b,P014,view,1.0,2026-03-16T00:00:00,True
I0029,C002_partner_b,P016,rating,3.6,2026-02-03T00:00:00,True
I0030,C003_partner_a,P001,rating,3.6,2026-02-03T00:00:00,True
I0031,C003_partner_a,P017,view,1.0,2026-03-27T00:00:00,True
I0032,C003_partner_a,P005,rating,3.9,2026-04-29T00:00:00,True
I0033,C003_partner_a,P002,rating,3.1,2026-02-28T00:00:00,True
I0034,C003_partner_a,P903,rating,4.1,2026-01-13T00:00:00,True
