user_id,couple_id,role,goals,dietary_restrictions,training_type,is_synthetic
C001_partner_a,C001,partner_a,endurance,nut_allergy,bodybuilding,True
C001_partner_b,C001,partner_b,endurance,vegetarian,bodybuilding,True
C002_partner_a,C002,partner_a,muscle_gain,none,yoga,True
C002_partner_b,C002,partner_b,muscle_gain,vegetarian,bodybuilding,True
C003_partner_a,C003,partner_a,muscle_gain,lactose_free,bodybuilding,True
C003_partner_b,C003,partner_b,endurance,vegetarian,crossfit,True
C004_partner_a,C004,partner_a,endurance,gluten_free,bodybuilding,True
C004_partner_b,C004,partner_b,endurance,vegetarian,yoga,True
C005_partner_a,C005,partner_a,endurance,nut_allergy,crossfit,True
C005_partner_b,C005,partner_b,muscle_gain,gluten_free,crossfit,True
C006_partner_a,C006,partner_a,muscle_gain,vegan,bodybuilding,True
C006_partner_b,C006,partner_b,endurance,gluten_free,crossfit,True
C007_partner_a,C007,partner_a,weight_loss,gluten_free,crossfit,True
C007_partner_b,C007,partner_b,endurance,vegan,yoga,True
C008_partner_a,C008,partner_a,endurance,none,bodybuilding,True
C008_partner_b,C008,partner_b,muscle_gain,gluten_free,yoga,True
C009_partner_a,C009,partner_a,weight_loss,vegan,bodybuilding,True
C009_partner_b,C009,partner_b,muscle_gain,vegetarian,yoga,True
C010_partner_a,C010,partner_a,weight_loss,vegetarian,crossfit,True
C010_partner_b,C010,partner_b,muscle_gain,lactose_free,crossfit,True
DEMO_COMPAT_partner_a,DEMO_COMPAT,partner_a,muscle_gain,vegan,bodybuilding,True
DEMO_COMPAT_partner_b,DEMO_COMPAT,partner_b,muscle_gain,vegetarian,crossfit,True
DEMO_CONFLICT_partner_a,DEMO_CONFLICT,partner_a,muscle_gain,none,bodybuilding,True
DEMO_CONFLICT_partner_b,DEMO_CONFLICT,partner_b,endurance,nut_allergy,yoga,True
